rowname,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Csize
B_and_1,0.003779011,-0.020036458,-0.013388552,0.044761126,-0.017056505,0.058706496,-0.008359289,-0.013362854,0.012944543,-0.030973904,-0.0043335,-0.006411744,-0.002156108,0.002424085,-0.020789251,0.022578774,0.006404531,0.005856898,-0.002962316,-0.0072975,34.50740485
B_and_7,0.005059418,-0.023750959,0.020948026,0.015128823,-0.007743371,0.019547051,-0.041893909,0.005275307,0.008504542,0.004101503,0.014872454,-0.014956665,-0.014374258,0.005128826,-0.01573962,0.004452874,-0.008111927,0.001526334,0.011343148,0.007967031,38.55308542
B_chr_0,0.001470933,-0.011956723,0.001225281,0.004966521,-0.018762208,0.035844415,-0.014202173,-0.011043054,0.003065144,-0.004217857,0.010193693,0.011141554,0.006471834,-0.004085923,-0.001451242,0.004859788,-0.002860328,-0.010342047,0.015347896,0.008158544,35.86050552
B_chr_9,-0.006486269,-0.0199619,-0.005471031,0.013458216,-0.021604536,0.014975687,-0.023690844,-0.007967363,0.008749064,-0.009147717,0.001496824,0.008715628,-0.006481174,-4.21E-04,6.17E-04,-0.005960779,0.004581094,-0.002235554,0.00115374,0.007946427,35.69819145
B_fra_1,0.021326455,-0.017199664,0.030006234,0.054170702,-0.003570849,-0.018529612,-0.015300462,-0.00741112,0.006989212,6.59E-04,0.009836527,0.012963965,0.010083192,-0.00822787,-0.00927092,-0.005424908,0.010217856,-0.00771816,0.010907031,-0.005654832,43.53446997
B_fra_8,0.014773329,-0.04668338,0.023904222,0.036337635,0.013721626,-0.009316148,-0.019180183,0.008425539,0.012285674,-0.014433347,-0.001046954,-0.005818185,0.014254897,-0.007987509,1.14E-04,-0.004586257,0.00387596,-0.009567594,-0.01454569,-0.007610601,43.89626369
B_pen_0,-4.30E-04,-0.035751105,0.035428826,0.026933411,0.001795067,0.008617681,-0.009683366,5.89E-04,-0.007913809,0.007958414,0.0117565,-0.017627151,-0.001761319,-0.001872674,0.001789652,-0.005965072,0.01771672,-0.004147827,-0.013870746,0.00406568,44.73542213
C_cel_0,0.018809376,-0.038842464,-0.017766224,-0.096361838,-0.043220285,-0.027603549,0.028200617,-0.006301544,-0.016910273,-0.003602877,0.017856308,0.028055357,0.001500715,-0.003586731,-0.017318958,0.00477868,0.01236896,0.004155001,-0.009481652,0.001719894,27.1047065
C_cel_7,0.010465628,0.021352274,0.025105806,-0.00109609,-0.005935311,0.027980385,-0.019397912,0.047879962,-0.01054973,-0.016221548,0.023282988,0.031940382,0.012985598,0.013899592,0.013739398,-0.00312594,-0.020846547,0.00642369,-0.007636021,0.003175949,31.59338114
E_can_0,0.064859667,0.012374534,0.02330811,0.014981965,0.012159274,0.010909889,0.025328033,-0.020654903,-0.019146818,-0.002320517,0.016531922,-0.00234228,-0.007268121,0.003244091,0.003450353,0.001764209,0.010282346,0.011535149,0.011207013,-0.018697522,51.68121696
E_can_4,0.03796219,0.038370558,0.005760621,0.012977732,-0.009122519,-0.002899024,0.026771264,-0.019729843,0.015327003,-0.013121166,-0.002777971,0.007671444,-0.002279556,-4.55E-06,-0.011794535,0.013151234,-0.008699066,0.019595262,0.002195775,0.009290286,47.3514677
E_cen_3,-0.100152382,0.078185491,0.019300284,-0.004402799,0.022684814,-0.034901972,-0.014243152,0.016689362,0.003750377,-0.014903024,-0.016530339,0.005179442,-0.010371119,-0.018335145,0.006015867,-0.001163859,0.011135724,0.006802591,0.007562757,-0.00255851,51.7123009
E_leu_0,-0.09669316,0.066598148,0.006092042,0.013029868,0.022894422,-0.012599442,-0.04537054,-0.004722684,0.003265739,0.007728477,-0.011366175,0.00383977,-0.001983228,-0.013054375,0.003713567,0.0057806,-4.70E-08,0.005553255,-0.012121203,0.018476458,47.68313015
G_rad_5,-0.045398013,0.044113646,0.027355011,0.022764409,-0.04985553,-0.035699737,0.010813291,0.016824905,-0.004784046,-0.023329449,0.028885699,-0.020640432,0.013818315,0.020018539,0.00882128,0.010604796,-0.010489709,-0.012500807,-0.009140024,0.002817707,23.92242449
H_min_2,0.035513798,0.029075854,-0.093606907,-0.046405101,-0.036599356,0.035340392,-0.014595837,0.02811824,-0.001366894,-0.015984961,-0.010351615,-0.004038926,-0.015734011,0.001461187,-0.001908027,-0.006993441,0.019080922,0.00240668,-0.006505145,-6.67E-04,21.21952588
H_min_3,0.03787476,0.03127429,-0.230017721,0.041593781,0.042030697,-0.013547728,0.001744183,-0.020153093,0.007299301,-9.12E-04,0.023251351,0.005756233,0.011462172,-0.014831594,-0.006784419,-0.013239848,-0.011569729,-0.007373575,-0.00397553,9.72E-04,20.35627028
H_ste_9,-0.158446127,0.181806579,-0.007358091,-0.019309685,-0.013757031,0.021260726,0.006092868,-0.008548028,0.016803003,0.019889549,0.002819481,0.017392518,0.004487531,0.014404883,-0.008102644,0.005668592,0.01113115,-0.012199674,-0.002383677,-0.009052025,56.6374179
L_mey_3,0.051601444,-0.010388134,0.007808094,-0.020724598,0.009155566,0.016314194,0.024926178,-0.037345617,-0.002780531,-0.00212845,-0.019080848,0.005945665,-0.007080995,0.007506305,0.031304359,-0.002986692,0.005691767,-0.016776078,0.003656389,0.013092458,55.85628886
L_mey_8,0.069455412,-0.022781559,0.023933211,-0.004935954,-0.007566274,0.001542629,0.022343658,-0.015575344,0.003790047,-0.003533908,-0.017706466,0.005868185,0.009204699,0.009478445,-0.014632965,0.008148081,-0.007013947,-0.016160852,-0.009790827,0.012480372,60.94300241
M_bec_6,0.026320629,0.00502792,0.0010693,-0.038709484,0.019617384,0.014132424,-0.011368076,-0.00808038,0.001366402,-0.024507912,0.006072896,-0.005839738,-0.00467394,0.003128811,0.008093826,-0.001102303,5.78E-04,-0.002862284,-0.008776944,-0.007476741,29.95211763
M_dol_2,0.0017862,0.001952741,0.026337251,-0.013564584,0.049724356,0.035439818,-0.023723625,-0.002145303,-0.021875175,-0.004155969,-0.005753418,0.005802089,8.06E-04,-0.013266424,0.002185974,-0.001165539,0.00258918,-0.007051744,0.007648301,0.003293333,41.683935
M_ele_8,0.054331852,-0.022572255,-0.03479621,-2.88E-04,-0.005927216,-0.01818066,-0.007236998,0.033839119,0.01096974,-0.00349284,-0.007594343,0.016238548,-0.016181458,0.002903636,0.007794771,0.01460753,-0.00285749,0.003556842,0.008396398,-0.001181026,39.57701212
M_ele_9,0.057827362,-0.036403542,-0.03789765,-0.004922227,0.003820949,-0.015202159,-0.024115126,0.031626739,-0.017367004,-3.54E-04,-0.004742414,5.10E-04,-0.00797746,-0.004982991,0.006715728,0.020469031,0.014978281,-0.012270344,-0.004181781,-0.009139207,39.33882925
M_ele_kcr8,0.062199259,-0.0024752,0.010831032,-0.017675456,0.006055811,0.004152781,0.005480237,-6.14E-04,0.007532112,-0.009363754,-0.005911294,-0.013240166,0.00302308,-0.009366476,0.011295045,-0.007241574,-0.003679237,-0.00994617,-0.010795909,-0.019521462,39.79226669
M_hel_1,0.006307904,0.011994066,0.030795663,-0.01444641,0.059347895,0.005725056,0.010418936,-0.001987123,0.013728097,-0.015871372,-0.009195766,0.006465282,0.010897134,0.007952037,3.95E-04,0.02341528,-0.001515365,-0.008346837,0.012102125,-0.00456259,43.49169295
M_hel_2,0.016194096,0.007716386,0.04109936,-0.018194813,0.034515182,-0.030960216,-9.32E-05,0.009017646,-0.009566457,0.007503631,0.011258488,-0.002332171,-0.016668272,-0.008321431,-0.017542004,0.004362504,0.005092157,-0.010909736,-0.001160907,0.008856932,44.74468776
M_mus_4,0.026202158,-0.004744036,0.043123761,0.006233794,0.038803356,-0.011145594,-0.010971132,0.001011097,-0.007407714,0.009059478,-0.001158481,0.01386354,-0.012105946,0.016503844,-0.013366581,-0.013076741,-0.010948959,0.011939643,-0.0091652,-0.011770349,31.92667842
M_mus_5,0.008716685,-9.89E-04,0.018391672,-0.004895146,0.029943978,0.005850391,-2.72E-04,0.009532257,8.01E-04,0.001866706,-0.021074038,-0.004719649,0.00538322,0.014141656,-0.017954099,-0.009009389,-0.001303442,8.37E-04,-0.014809,-0.005079125,33.66957418
M_nas_4,-0.085727867,-0.097141315,-0.021673842,-1.79E-04,-0.015609405,0.006327785,0.013957899,-0.003447205,0.012396189,0.001158992,-0.011534611,0.008156292,-4.41E-04,0.010117021,-0.006209068,-0.003985279,0.004775271,-0.003652557,0.004407959,0.002334904,27.89188928
M_nas_5,-0.091250846,-0.086770762,-0.026705487,-0.005626075,-0.001707626,0.009726303,0.004911876,2.54E-04,0.007438958,-0.003624202,0.008670961,0.014047705,0.003099595,0.008009261,0.004701133,-0.004623132,0.010244492,-0.004646262,0.012945207,-0.007175405,28.97971792
M_par_8,0.009302165,-0.041633589,-0.014502863,-0.07479047,0.019948421,-0.023747815,-0.059349487,-0.035616878,0.035044802,0.029398632,0.017109807,-0.015498871,0.013123869,0.018951622,0.015204371,0.014574946,-3.81E-04,0.010300642,-0.00446408,-0.001194939,25.88465166
M_par_9,-0.009181381,-0.014181438,-0.020058399,-0.047149717,0.02228988,0.018589793,-0.005970486,-0.009946965,-0.00554351,-0.009668988,-7.64E-04,0.006690155,-0.01451559,0.003652078,-0.007977536,0.004240284,-0.017660434,-8.23E-05,0.001554241,0.003688657,23.20546713
M_wat_1,0.026581487,0.008483147,0.036488639,0.001655878,0.060161275,-0.001385797,0.023998665,0.006417257,-7.97E-04,0.007205305,0.014018008,0.015267816,7.13E-04,0.017417914,-0.014062347,-0.017966663,0.005438168,0.009568276,2.69E-04,0.001850513,32.71764705
P_dom_6,0.032360668,0.013935727,0.023484616,-0.004036477,0.006881752,0.013607102,0.010088624,0.009592571,0.010786277,-0.008363979,0.004550926,-0.004167134,-0.003517228,-0.004541244,0.002430494,-0.015905524,0.014936412,0.008245964,-1.83E-04,0.008395693,60.68575832
