,Genus,Species,Clade,SubClade,SubClade_Frat,PC1,PC2,PC3,PC4,PC5,dist5,dist4,dist3,dist2,Csize
B_and_1,Bunomys,Bunomys_andrewsi,Bunomys,Bunomys,Bunomys,0.000597823,-0.003935546,0.015523569,-0.047474744,0.007380022,0.050647242,0.05010667,0.016025826,0.003980693,34.52519926
B_and_7,Bunomys,Bunomys_andrewsi,Bunomys,Bunomys,Bunomys,0.002006183,-0.031032731,-0.003324316,-0.018449163,0.000227692,0.036311565,0.036310851,0.031274691,0.031097511,38.55298166
B_chr_0,Bunomys,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,-0.000801632,-0.008353802,0.002082337,-0.00576473,0.011714853,0.015659969,0.010392154,0.008646661,0.008392176,35.8589713
B_chr_9,Bunomys,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,-0.009012289,-0.010646022,0.014063161,-0.015460484,0.016377786,0.029993167,0.025126842,0.019807363,0.013948446,35.69597112
B_fra_1,Bunomys,Bunomys_fratrorum,Bunomys,Bunomys,Frateromys,0.018216873,-0.031932975,-0.01282397,-0.057572046,0.004276875,0.069633725,0.069502259,0.038936147,0.036763696,43.53570285
B_fra_8,Bunomys,Bunomys_fratrorum,Bunomys,Bunomys,Frateromys,0.01172522,-0.051068874,0.011669911,-0.041846269,-0.014441471,0.06957991,0.068064732,0.053681445,0.052397621,43.89602314
B_pen_0,Bunomys,Bunomys_penitus,Bunomys,Bunomys,Bunomys,-0.003690582,-0.048101862,-0.006732646,-0.029183519,-0.00422582,0.056940963,0.056783939,0.048710759,0.048243232,44.73724029
C_cel_0,Crunomys,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,0.01524224,-0.022161875,0.036532929,0.096480959,0.048413486,0.117092145,0.10661475,0.045366612,0.026897482,27.0977683
E_can_0,Eropeplus,Eropeplus_canus,Bunomys,Taeromys,Taeromys,0.062971545,-0.00686801,-0.028355031,-0.014281894,-0.011091805,0.07171885,0.070855948,0.069401678,0.063344969,51.68221898
E_can_4,Eropeplus,Eropeplus_canus,Bunomys,Taeromys,Taeromys,0.036465492,0.024338467,-0.032000841,-0.011889399,0.009255702,0.056330921,0.055565319,0.05427842,0.043841682,47.35323296
E_leu_0,Echiothrix,Echiothrix_leucura,Echiothrix,Echiothrix,Echiothrix,-0.095214218,0.049839291,-0.046866678,-0.01476671,-0.031683368,0.122344102,0.1181704,0.117244137,0.107469541,47.69382693
G_rad_5,Gracillimus,Gracillimus_radix,Echiothrix,Echiothrix,Echiothrix,-0.048184502,0.016942621,-0.051246778,-0.02403315,0.049475188,0.090886839,0.076240561,0.072353513,0.0510764,23.92647163
H_min_2,Haeromys,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,0.03829508,0.079768333,0.047720989,0.047735101,0.03404115,0.116379692,0.111289859,0.100532546,0.088484462,21.21448459
H_min_3,Haeromys,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,0.044236713,0.173635651,0.154049484,-0.036859044,-0.033489437,0.241490375,0.239156975,0.236299534,0.179182103,20.35068972
H_ste_9,Hyorhinomys,Hyorhinomys_steumpkei,Echiothrix,Echiothrix,Echiothrix,-0.15367713,0.15021798,-0.116550083,0.026578014,0.003184183,0.245932009,0.245911395,0.244470905,0.214900213,56.66120479
L_mey_3,Lenomys,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,0.049226742,-0.014587907,-0.002846318,0.021111987,-0.011601861,0.05678468,0.055586839,0.051421597,0.051342761,55.84925834
L_mey_8,Lenomys,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,0.065921801,-0.035058786,-0.006887675,0.003623857,0.008618102,0.075562203,0.075069133,0.074981614,0.074664599,60.93553759
M_bec_6,Margaretamys,Margaretamys_beccarii,Margaretamys,Margaretamys,Margaretamys,0.024892805,0.000150457,-0.005055469,0.035375579,-0.024764487,0.050099337,0.043550703,0.02540142,0.02489326,29.94944891
M_dol_2,Maxomys,Maxomys_dollmani,Maxomys,Maxomys,Maxomys,0.001330801,-0.01556364,-0.022301607,0.010007504,-0.057581024,0.064475453,0.029008787,0.027227919,0.015620432,41.68619576
M_ele_8,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,0.053753977,0.002271564,0.041215329,-0.000789892,0.010656394,0.068611487,0.067778886,0.067774283,0.053801953,39.57349885
