,Genus,Species,Clade,SubClade,SubClade_Frat,PC1,PC2,PC3,PC4,PC5,dist5,dist4,dist3,dist2,Csize
B_and_1,Bunomys,Bunomys_andrewsi,Bunomys,Bunomys,Bunomys,-0.004976113,0.015531373,-0.014163251,0.046784327,-0.013105424,0.053170559,0.051530148,0.021600531,0.016309055,34.52207869
B_and_7,Bunomys,Bunomys_andrewsi,Bunomys,Bunomys,Bunomys,-0.004900498,0.02791867,0.01707085,0.01827688,-0.001172712,0.037819314,0.037801128,0.033088985,0.028345493,38.55515056
B_chr_0,Bunomys,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,-0.001948438,0.012439523,0.000518916,0.005723834,-0.015127143,0.020503662,0.01384087,0.012601881,0.012591193,35.86155988
B_chr_9,Bunomys,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,0.005996135,0.019810181,-0.008542619,0.015406503,-0.017249223,0.032191136,0.027179654,0.022391365,0.020697751,35.69805733
B_fra_1,Bunomys,Bunomys_fratrorum,Bunomys,Bunomys,Frateromys,-0.01959234,0.02157811,0.026760237,0.057485753,-0.001852203,0.06981137,0.069786795,0.039567473,0.029145748,43.5371495
B_fra_8,Bunomys,Bunomys_fratrorum,Bunomys,Bunomys,Frateromys,-0.015441049,0.050118187,0.014920542,0.041543486,0.017229257,0.070679486,0.068547374,0.054524134,0.052442908,43.89974314
B_pen_0,Bunomys,Bunomys_penitus,Bunomys,Bunomys,Bunomys,0.000234113,0.041528117,0.028218754,0.029160072,0.003864929,0.058190934,0.058062442,0.050208937,0.041528777,44.74092708
C_cel_0,Crunomys,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,-0.020267449,0.0382418,-0.021327458,-0.095977358,-0.045998705,0.116857175,0.107423082,0.048250029,0.043280536,27.100914
E_can_0,Eropeplus,Eropeplus_canus,Bunomys,Taeromys,Taeromys,-0.062284655,-0.010887602,0.02913648,0.014447739,0.009774489,0.071771376,0.071102671,0.069619341,0.063229092,51.68274907
E_can_4,Eropeplus,Eropeplus_canus,Bunomys,Taeromys,Taeromys,-0.034399175,-0.037849414,0.016260399,0.012102972,-0.011127105,0.056129995,0.055016033,0.053668258,0.051145688,47.34910636
E_cen_3,Echiothrix,Echiothrix_centrosa,Echiothrix,Echiothrix,Echiothrix,0.107192589,-0.065384503,0.028464438,-0.002177131,0.026305975,0.131424323,0.128764702,0.128746295,0.125560281,51.71172137
E_leu_0,Echiothrix,Echiothrix_leucura,Echiothrix,Echiothrix,Echiothrix,0.102157941,-0.057838363,0.013326645,0.014309284,0.030503536,0.122859033,0.119012085,0.118148723,0.117394724,47.68392404
G_rad_5,Gracillimus,Gracillimus_radix,Echiothrix,Echiothrix,Echiothrix,0.050489798,-0.033911944,0.03390776,0.024799538,-0.050144099,0.089322022,0.073918827,0.069634588,0.060821375,23.92219985
H_min_2,Haeromys,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,-0.038120483,-0.046199669,-0.080603706,-0.048036434,-0.034736613,0.116613332,0.111319527,0.1004218,0.059896416,21.21514299
H_min_3,Haeromys,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,-0.04531761,-0.078755607,-0.218237562,0.036199502,0.035026924,0.241704478,0.239153024,0.236397473,0.090863257,20.35127793
H_ste_9,Hyorhinomys,Hyorhinomys_steumpkei,Echiothrix,Echiothrix,Echiothrix,0.168192439,-0.171329577,0.021521263,-0.026443558,-0.014135574,0.242908957,0.242497313,0.241051209,0.240088568,56.63718126
L_mey_3,Lenomys,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,-0.051015033,0.010112712,0.010058218,-0.021084939,0.00953703,0.057805691,0.057013533,0.052971391,0.052007697,55.85384659
L_mey_8,Lenomys,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,-0.068742755,0.024494229,0.024210374,-0.003680795,-0.008393527,0.077431747,0.076975477,0.076887423,0.072976254,60.94195875
M_bec_6,Margaretamys,Margaretamys_beccarii,Margaretamys,Margaretamys,Margaretamys,-0.024731368,-0.002916068,0.004554748,-0.035622569,0.023578442,0.049656823,0.043701912,0.0253158,0.024902691,29.95005162
M_dol_2,Maxomys,Maxomys_dollmani,Maxomys,Maxomys,Maxomys,-0.000224535,0.004453203,0.02649736,-0.010592734,0.05530799,0.062395283,0.028882477,0.026869899,0.00445886,41.68736672
M_ele_8,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,-0.056182891,0.013849954,-0.035163342,0.000456465,-0.005512376,0.067936689,0.067712683,0.067711145,0.057864829,39.57556936
M_ele_9,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,-0.060661016,0.026906146,-0.040241238,-0.002687145,0.008082496,0.078074351,0.077654861,0.077608355,0.066360376,39.3361374
M_ele_kcr8,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,-0.061239569,0.002975031,0.015399419,-0.015836323,0.008448415,0.065714858,0.065169524,0.063216119,0.06131179,39.7900397
M_hel_1,Maxomys,Maxomys_hellwaldii,Margaretamys,Margaretamys,Margaretamys,-0.003377942,-0.004684733,0.032380432,-0.012169205,0.060171561,0.069645932,0.035070488,0.032891482,0.005775571,43.49488506
M_hel_2,Maxomys,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,-0.012357733,0.001700974,0.042387378,-0.015575772,0.035413889,0.058728569,0.046849774,0.044184801,0.012474248,44.74592848
M_mus_4,Maxomys,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,-0.023099638,0.013156687,0.041526177,0.009595979,0.03951331,0.06391009,0.050231443,0.049306339,0.026583673,31.92970989
M_mus_5,Maxomys,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,-0.007644262,0.005018369,0.018922363,-0.0022372,0.030009737,0.036705094,0.021134797,0.021016056,0.009144331,33.67134541
M_nas_4,Melasmothrix,Melasmothrix_naso,Echiothrix,Echiothrix,Echiothrix,0.078964182,0.094995902,-0.043662422,0.001645226,-0.018602172,0.132343183,0.1310293,0.13101897,0.123529606,27.89511673
M_nas_5,Melasmothrix,Melasmothrix_naso,Echiothrix,Echiothrix,Echiothrix,0.084940504,0.084546717,-0.047567801,-0.003639815,-0.00416306,0.129059334,0.128992172,0.128940809,0.119845887,28.98351243
M_par_8,Margaretamys,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,-0.010215821,0.042121429,-0.02031813,-0.070419796,0.030427645,0.090422306,0.085148999,0.047868614,0.043342563,25.88086864
