Collector_Number,Catalog_Number,Species,Clade,SubClade,SubClade_Frat,Community,Confirmed_ID,elev_min,elev_max,mhb_elev_min,mhb_elev_max,Sample Mass (mg),Carbon Content (mg),Carbon Content (%),Corrected_13C,Nitrogen Content (mg),Nitrogen Content (%),Corrected_15N,C/N Ratio,Notes
KCR_1448,,Bunomys_andrewsi,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,500,1400,0.623,0.273448911,43.89228104,-23.81730466,0.09188979,14.74956507,6.232875816,2.975835614,
KCR_2155,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.615,0.274097172,44.56864577,-23.80587669,0.091321972,14.84910107,5.241887063,3.001437297,
KCR_2297,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.585,0.258088152,44.11763277,-23.9080307,0.088672024,15.15761099,4.972539304,2.910592757,
KCR_2170,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.588,0.262635511,44.66590321,-23.7749093,0.088983694,15.13328133,4.93694744,2.951501543,
KCR_2280,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.58,0.256615245,44.24400771,-23.59344129,0.08644366,14.90407924,4.892463193,2.968583769,
KCR_2551,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.581,0.258821389,44.5475713,-23.63773819,0.087550314,15.06890081,4.450921306,2.956258846,
JAE_4867,LSUMZ_38236,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Buliohuto,X,450,500,250,2200,0.607,0.269946447,44.47223174,-23.91355204,0.089558853,14.75434156,3.793489742,3.014179356,
JLP_26030,LSUMZ_36876,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Dako,X,400,700,250,2200,0.586,0.265974948,45.3882164,-23.52663114,0.088092853,15.03291001,6.393629806,3.019256842,
JLP_25928,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Dako,X,400,700,250,2200,0.621,0.279912482,45.07447382,-24.89027101,0.091419226,14.7212925,3.605704557,3.061855732,
JLP_26026,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Dako,X,400,700,250,2200,0.587,0.265421211,45.21656069,-23.53884865,0.08614614,14.67566277,2.814872154,3.08105749,
JLP_25950,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Dako,X,400,700,250,2200,0.605,0.271111787,44.81186569,-23.55325216,0.089277035,14.75653475,2.707061654,3.036747207,
JLP_25994,MZB,Bunomys_chrysocomus,Bunomys,Bunomys,Bunomys,Dako,X,400,700,250,2200,0.613,0.276290212,45.07181269,-24.95033099,0.095222181,15.53379791,2.226746659,2.901532063,
KCR_2932,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.578,0.264492442,45.75993807,-22.68951907,0.090870346,15.72151308,7.460937669,2.910657379,
KCR_2985,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.604,0.278024887,46.03061045,-22.6197691,0.096955044,16.05215957,6.672787324,2.867564968,
KCR_2768,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.603,0.280580621,46.53078296,-23.09322651,0.0962115,15.95547262,6.168595651,2.916289857,
KCR_2708,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.59,0.269850296,45.73733837,-24.27288566,0.092290169,15.64240155,6.14255499,2.923933274,
KCR_2769,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.622,0.285992764,45.97954406,-23.13886229,0.097275004,15.63906817,5.586954945,2.940043713,
KCR_2883,MZB,Bunomys_coelestis,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1700,2800,1800,2500,0.575,0.262523441,45.6562506,-22.74497657,0.08979957,15.61731646,5.330037457,2.92343763,
JAE_5078,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.625,0.27931015,44.689624,-23.58266791,0.093952279,15.03236464,5.601513152,2.972893824,
JAE_5054,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.591,0.265326807,44.89455287,-23.40868705,0.088789139,15.02354294,5.063009454,2.988279998,
JAE_5085,LSUMZ_38992,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.595,0.261629596,43.97136073,-23.49418302,0.088308813,14.84181736,4.91132478,2.962666879,
JAE_5045,LSUMZ_38989,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.601,0.26564432,44.20038604,-23.56253534,0.090029382,14.97993047,4.772228093,2.950640267,
MTS_120,LSUMZ_38987,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.619,0.272529444,44.02737375,-23.24567641,0.092246048,14.90243106,4.375165025,2.954375267,
JAE_5066,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.616,0.273247576,44.35837275,-23.119817,0.092006602,14.93613676,4.310601432,2.969869214,
MTS_158,LSUMZ_38988,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Ambang,X,1460,1592,500,1982,0.582,0.258639863,44.43983901,-23.5882401,0.087067136,14.95998903,3.623240786,2.970579652,
JAE_4549,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.613,0.279619199,45.61487747,-24.14831466,0.090845714,14.81985542,6.147479998,3.077956983,
JAE_4559,LSUMZ36885,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.6,0.27272047,45.4534116,-23.82628459,0.091588857,15.26480949,5.856927427,2.977659932,
JAE_4516,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.605,0.278529235,46.03789003,-24.04215944,0.090889333,15.02303024,5.822823751,3.064487609,
JAE_4560,LSUMZ_36886,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.598,0.273808245,45.78733196,-24.11661145,0.090409521,15.11864898,5.457779748,3.028533304,
JAE_4537,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.607,0.279153009,45.98896365,-24.28805888,0.092572714,15.25085897,5.36822378,3.015499896,
JAE_4536,LSUMZ_36881,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.584,0.269402426,46.13055238,-24.02504752,0.085876347,14.70485396,5.325145035,3.137096941,
JAE_4515,LSUMZ_36877,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.613,0.282186524,46.03369074,-24.07411224,0.092268995,15.05203826,5.051053365,3.058302798,
JAE_4533,MZB,Bunomys_fratrorum,Bunomys,Taeromys,B_fratrorum,Dako,X,1500,1700,500,1980,0.592,0.269507483,45.52491262,-24.27599611,0.086438551,14.60110661,4.679560698,3.117908377,
KCR_2905,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.608,0.275064078,45.24080222,-23.4739231,0.093844521,15.43495417,7.409814751,2.931061648,
KCR_2707,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.578,0.324428238,56.12945297,-23.94954751,0.086269118,14.92545297,7.182537048,3.760653234,
KCR_2701,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.623,0.286834235,46.04080824,-23.65713769,0.095827911,15.38168719,6.643582047,2.993222244,
KCR_2709,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.61,0.278035327,45.57956184,-25.07973467,0.092891913,15.22818238,5.257690765,2.993105855,
JAE_4320,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.611,0.273721879,44.7989982,-24.31491561,0.089600569,14.66457754,6.783775807,3.054912294,
KCR_1594,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.576,0.254910176,44.2552389,-23.70897688,0.083748877,14.53973562,6.67426244,3.043744403,
ASA_279,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,isotopes_elevation,1580,2100,1500,2000,0.609,0.274506435,45.07494828,-21.28569332,0.094876458,15.57905715,6.251027932,2.893303995,
ASA_320,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.6,0.275397587,45.89959783,-23.42637513,0.091241194,15.2068657,6.180785182,3.018347025,
JAE_4284,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.608,0.268682468,44.19119532,-23.83462039,0.089544126,14.72765227,6.081969955,3.000559391,
JAE_4270,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.588,0.258675036,43.99235312,-23.72321096,0.085415914,14.52651591,5.937018559,3.02841737,
JAE_4406,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.615,0.268999531,43.73976106,-23.98371087,0.088967882,14.46632236,5.908243363,3.023557749,
JAE_4298,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.579,0.256526987,44.30517914,-23.70018927,0.084766163,14.64009726,5.337918131,3.026289945,
JAE_4370,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.624,0.276596443,44.32635309,-22.33971427,0.091048396,14.59108917,5.137696773,3.037905708,
JAE_4332,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.579,0.254091272,43.88450288,-22.11808688,0.082574076,14.26149843,4.506760854,3.077131278,
HH_745,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.623,0.283310828,45.47525322,-24.51173211,0.095268254,15.29185464,8.669390503,2.973821965,
KCR_2561,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.595,0.262840644,44.1748982,-24.14841713,0.08859454,14.88983862,8.232615319,2.96678153,
KCR_2632,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.624,0.280259821,44.91343281,-24.32162021,0.09385185,15.04036058,8.158278572,2.986193886,
KCR_2501,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.615,0.268321647,43.62953602,-24.42592638,0.082186196,13.36360909,7.793685233,3.264801876,
KCR_2567,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.622,0.279580213,44.94858723,-23.37853218,0.094737455,15.23110205,7.702540867,2.951105381,
